/home/aris/data/lamia.csv,MeasurementValue
1/17/2011 14:30,106.89
1/17/2011 15:00,95.53
1/17/2011 15:30,92.16
1/17/2011 16:00,73.73
1/17/2011 16:30,70.33
1/17/2011 17:00,66.04
1/17/2011 17:30,62.34
1/17/2011 18:00,69.41
1/17/2011 18:30,65.42
1/17/2011 19:00,65.12
1/17/2011 19:30,60.83
1/17/2011 20:00,62.66
1/17/2011 20:30,70.03
1/17/2011 21:00,57.43
1/17/2011 21:30,52.52
1/17/2011 22:00,46.99
1/17/2011 22:30,52.22
1/17/2011 23:00,46.37
1/17/2011 23:30,41.78
1/18/2011,41.78
1/18/2011 0:30,45.77
1/18/2011 1:00,41.46
1/18/2011 1:30,37.78
1/18/2011 2:00,42.69
1/18/2011 2:30,42.38
1/18/2011 3:00,43.91
1/18/2011 3:30,40.54
1/18/2011 4:00,40.54
1/18/2011 4:30,37.78
1/18/2011 5:00,41.78
1/18/2011 5:30,42.08
1/18/2011 6:00,50.06
1/18/2011 6:30,61.13
1/18/2011 7:00,73.73
1/18/2011 7:30,91.54
1/18/2011 8:00,93.08
1/18/2011 8:30,105.36
1/18/2011 9:00,105.68
1/18/2011 9:30,105.68
1/18/2011 10:00,113.34
1/18/2011 10:30,108.13
1/18/2011 11:00,92.16
1/18/2011 11:30,102.9
1/18/2011 12:00,99.23
1/18/2011 12:30,104.74
1/18/2011 13:00,99.23
1/18/2011 13:30,97.07
1/18/2011 14:00,113.04
1/18/2011 14:30,99.23
1/18/2011 15:00,94.29
1/18/2011 15:30,97.37
1/18/2011 16:00,86.93
1/18/2011 16:30,86.31
1/18/2011 17:00,84.77
1/18/2011 17:30,79.86
1/18/2011 18:00,76.48
1/18/2011 18:30,80.48
1/18/2011 19:00,86.31
1/18/2011 19:30,80.78
1/18/2011 20:00,75.56
1/18/2011 20:30,74.64
1/18/2011 21:00,74.64
1/18/2011 21:30,62.96
1/18/2011 22:00,45.45
1/18/2011 22:30,50.68
1/18/2011 23:00,39.92
1/18/2011 23:30,40.24
1/19/2011,43.91
1/19/2011 0:30,39.32
1/19/2011 1:00,40.24
1/19/2011 1:30,42.69
1/19/2011 2:00,40.54
1/19/2011 2:30,37.78
1/19/2011 3:00,43.31
1/19/2011 3:30,40.24
1/19/2011 4:00,41.16
1/19/2011 4:30,44.85
1/19/2011 5:00,39.62
1/19/2011 5:30,45.15
1/19/2011 6:00,53.76
1/19/2011 6:30,62.34
1/19/2011 7:00,79.56
1/19/2011 7:30,88.46
1/19/2011 8:00,103.52
1/19/2011 8:30,122.57
1/19/2011 9:00,126.56
1/19/2011 9:30,121.03
1/19/2011 10:00,113.04
1/19/2011 10:30,128.1
1/19/2011 11:00,125.64
1/19/2011 11:30,118.88
1/19/2011 12:00,129.94
1/19/2011 12:30,115.8
1/19/2011 13:00,123.17
1/19/2011 13:30,113.66
1/19/2011 14:00,113.04
1/19/2011 14:30,117.66
1/19/2011 15:00,119.79
1/19/2011 15:30,105.36
1/19/2011 16:00,94.29
1/19/2011 16:30,82.63
1/19/2011 17:00,86.31
1/19/2011 17:30,90
1/19/2011 18:00,89.38
1/19/2011 18:30,86.93
1/19/2011 19:00,88.46
1/19/2011 19:30,82.31
1/19/2011 20:00,86.63
1/19/2011 20:30,83.85
1/19/2011 21:00,80.78
1/19/2011 21:30,60.83
1/19/2011 22:00,48.53
1/19/2011 22:30,49.44
1/19/2011 23:00,45.15
1/19/2011 23:30,48.23
1/20/2011,45.45
1/20/2011 0:30,43.61
1/20/2011 1:00,49.44
1/20/2011 1:30,41.46
1/20/2011 2:00,41.78
1/20/2011 2:30,43.91
1/20/2011 3:00,39
1/20/2011 3:30,44.85
1/20/2011 4:00,44.53
1/20/2011 4:30,43.31
1/20/2011 5:00,42.38
1/20/2011 5:30,42.08
1/20/2011 6:00,50.98
1/20/2011 6:30,65.42
1/20/2011 7:00,79.86
1/20/2011 7:30,93.38
1/20/2011 8:00,100.74
1/20/2011 8:30,120.41
1/20/2011 9:00,113.04
1/20/2011 9:30,98.91
1/20/2011 10:00,106.28
1/20/2011 10:30,103.82
1/20/2011 11:00,101.98
1/20/2011 11:30,108.13
1/20/2011 12:00,108.43
1/20/2011 12:30,111.51
1/20/2011 13:00,109.05
1/20/2011 13:30,103.82
1/20/2011 14:00,97.69
1/20/2011 14:30,93.99
1/20/2011 15:00,86.93
1/20/2011 15:30,83.25
1/20/2011 16:00,83.85
1/20/2011 16:30,70.95
1/20/2011 17:00,74.33
1/20/2011 17:30,74.94
1/20/2011 18:00,70.33
1/20/2011 18:30,70.33
1/20/2011 19:00,69.11
1/20/2011 19:30,65.12
1/20/2011 20:00,64.2
1/20/2011 20:30,67.58
1/20/2011 21:00,60.83
1/20/2011 21:30,63.28
1/20/2011 22:00,51.6
1/20/2011 22:30,42.38
1/20/2011 23:00,44.23
1/20/2011 23:30,37.46
1/21/2011,39.32
1/21/2011 0:30,41.78
1/21/2011 1:00,37.46
1/21/2011 1:30,37.78
1/21/2011 2:00,34.41
1/21/2011 2:30,34.71
1/21/2011 3:00,35.33
1/21/2011 3:30,29.18
1/21/2011 4:00,29.79
1/21/2011 4:30,31.33
1/21/2011 5:00,36.54
1/21/2011 5:30,39
1/21/2011 6:00,46.37
1/21/2011 6:30,52.84
1/21/2011 7:00,64.5
1/21/2011 7:30,77.4
1/21/2011 8:00,89.08
1/21/2011 8:30,95.83
1/21/2011 9:00,112.43
1/21/2011 9:30,108.13
1/21/2011 10:00,109.67
1/21/2011 10:30,111.21
1/21/2011 11:00,105.98
1/21/2011 11:30,104.44
1/21/2011 12:00,113.04
1/21/2011 12:30,109.05
1/21/2011 13:00,101.98
1/21/2011 13:30,99.53
1/21/2011 14:00,93.69
1/21/2011 14:30,98.29
1/21/2011 15:00,92.16
1/21/2011 15:30,80.78
1/21/2011 16:00,68.19
1/21/2011 16:30,58.05
1/21/2011 17:00,61.43
1/21/2011 17:30,59.29
1/21/2011 18:00,63.28
1/21/2011 18:30,57.43
1/21/2011 19:00,68.81
1/21/2011 19:30,70.95
1/21/2011 20:00,70.65
1/21/2011 20:30,69.73
1/21/2011 21:00,66.96
1/21/2011 21:30,57.13
1/21/2011 22:00,43.91
1/21/2011 22:30,39.62
1/21/2011 23:00,31.93
1/21/2011 23:30,30.71
1/22/2011,32.25
1/22/2011 0:30,30.41
1/22/2011 1:00,29.18
1/22/2011 1:30,26.1
1/22/2011 2:00,26.42
1/22/2011 2:30,26.1
1/22/2011 3:00,30.41
1/22/2011 3:30,28.88
1/22/2011 4:00,25.8
1/22/2011 4:30,26.1
1/22/2011 5:00,27.94
1/22/2011 5:30,28.56
1/22/2011 6:00,28.88
1/22/2011 6:30,25.8
1/22/2011 7:00,32.87
1/22/2011 7:30,32.87
1/22/2011 8:00,42.69
1/22/2011 9:00,38.4
1/22/2011 9:30,43.91
1/22/2011 10:00,37.78
1/22/2011 10:30,38.4
1/22/2011 11:00,37.16
1/22/2011 11:30,38.08
1/22/2011 12:00,39.32
1/22/2011 12:30,39.62
1/22/2011 13:00,35.33
1/22/2011 13:30,30.41
1/22/2011 14:00,29.48
1/22/2011 14:30,28.26
1/22/2011 15:00,26.42
1/22/2011 15:30,30.41
1/22/2011 16:00,30.09
1/22/2011 16:30,27.02
1/22/2011 17:00,28.56
1/22/2011 17:30,29.48
1/22/2011 18:00,35.93
1/22/2011 18:30,26.1
1/22/2011 19:00,25.8
1/22/2011 19:30,27.02
1/22/2011 20:00,22.43
1/22/2011 20:30,23.64
1/22/2011 21:00,25.18
1/22/2011 21:30,24.26
1/22/2011 22:00,22.73
